Id,Start,Name,Impact,Currency
bf175814-0cdb-4f3a-b8da-749c81e92d89,04/01/2020 01:45:00,Caixin Manufacturing PMI,HIGH,CNY
b7150ebb-6666-49a1-9dec-7face875184b,04/01/2020 12:15:00,ADP Employment Change,HIGH,USD
a87060d7-9c83-4f1b-afc2-8fde7f428100,04/01/2020 14:00:00,ISM Manufacturing PMI,HIGH,USD
4ac84ae7-ab2b-45e5-bf01-bd2e78a5e15c,04/02/2020 12:30:00,Initial Jobless Claims,HIGH,USD
a51b50b0-401a-4264-ac03-94abb9c09dc3,04/03/2020 12:30:00,Nonfarm Payrolls,HIGH,USD
93f61fed-19ae-4459-88d8-cf9a615ef099,04/03/2020 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
9e5a113d-9f75-46f4-a32a-12d2ed60b593,04/03/2020 14:00:00,ISM Services PMI,HIGH,USD
8ee11977-da92-4d06-a5c5-e77512d66583,04/03/2020 14:00:00,ISM Services Employment Index,HIGH,USD
3827d753-f31e-43f5-87f3-ae2cc52abcb4,04/08/2020 18:00:00,FOMC Minutes,HIGH,USD
13183dbd-0c42-486b-b30b-3c678e2cfede,04/09/2020 00:30:00,BoJ's Governor Kuroda speech,HIGH,JPY
f0550571-38c1-42b6-8673-1fcefe059743,04/09/2020 11:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
7afddc01-73e8-40a1-8fbf-691e9f8eeeb1,04/09/2020 12:30:00,Initial Jobless Claims,HIGH,USD
81e0c44f-4c1f-4adf-9a9a-4d6405849972,04/09/2020 14:00:00,Fed's Chair Powell speech,HIGH,USD
2133f8f5-8ad3-41fb-9ec6-eafd560d9bd3,04/09/2020 14:00:00,OPEC Meeting,HIGH,USD
4d575a9a-cae8-4172-8829-ff0acf38f778,04/09/2020 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
397231e8-2b29-40d2-baf9-9c85cee59168,04/10/2020 01:30:00,Consumer Price Index (YoY),HIGH,CNY
c2fb278a-8749-4358-bf43-274346427bbc,04/10/2020 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
4c88be4d-3676-45e0-9d71-6607f8567ca1,04/10/2020 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
ca0f949f-3be3-44e2-abb3-3ee26910e9eb,04/14/2020 00:00:00,G7 Meeting,HIGH,EUR
a564d479-c7b5-40a1-95c0-176267bd3675,04/15/2020 12:30:00,Retail Sales Control Group,HIGH,USD
02cbb675-a395-4a23-af0f-a29b95b9c74c,04/16/2020 06:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
ed829115-d57c-4254-96b9-66c59424d50a,04/16/2020 12:30:00,Initial Jobless Claims,HIGH,USD
c361d441-7c52-4c5e-bd5f-4181171e1e4e,04/17/2020 02:00:00,Gross Domestic Product (QoQ),HIGH,CNY
082d9785-7341-4df1-8c3e-9ec76892aa44,04/17/2020 02:00:00,Gross Domestic Product (YoY),HIGH,CNY
0bf9606c-fb07-45be-9757-43f571c3d888,04/20/2020 01:30:00,PBoC Interest Rate Decision,HIGH,CNY
4d0f57ce-d7da-4c83-9010-24dc332132a2,04/21/2020 06:00:00,Employment Change,HIGH,GBP
eca89534-17a6-482f-8edf-b58037abd312,04/21/2020 06:00:00,Average Earnings Including Bonus (3Mo/Yr),HIGH,GBP
d19a1897-f469-4e85-82e8-ba9a27fe7234,04/21/2020 06:00:00,ILO Unemployment Rate (3M),HIGH,GBP
a72538f6-58e5-4bc4-a2ae-5f5682f26fe2,04/21/2020 09:00:00,ZEW Survey – Economic Sentiment,HIGH,EUR
53f4f338-7f23-4f26-afe5-5738840559ea,04/22/2020 06:00:00,Consumer Price Index (YoY),HIGH,GBP
0076b0e9-2f39-4a01-8ff4-00294599f033,04/23/2020 00:00:00,European Council Meeting,HIGH,EUR
2951ee45-32bd-452a-8b93-7e41d9ab59b2,04/23/2020 07:30:00,HCOB Composite PMI,HIGH,EUR
f104990e-d881-4b4f-95c4-fed3f8082c10,04/23/2020 07:30:00,HCOB Manufacturing PMI,HIGH,EUR
3811d181-0a6d-44ba-a104-a3554b86c9ce,04/23/2020 08:00:00,HCOB Composite PMI,HIGH,EUR
d3f3761c-3204-41d9-b6b5-67cdb481e87e,04/23/2020 08:30:00,S&P Global/CIPS Services PMI,HIGH,GBP
32b773a7-8fae-4f13-90b1-645d337b5921,04/23/2020 12:30:00,Initial Jobless Claims,HIGH,USD
